t,x,y,z,dx,dy,dz,dv_st
7.6480665148867946e+00,-9.8884276536055216e-01,0.0000000000000000e+00,-1.1210195785537362e-03,3.1310554546403992e-13,-9.0334846149345838e-03,-3.1456643303492742e-14,-6.0354359447956081e-13
1.0707293120847764e+01,-9.8884276536054316e-01,0.0000000000000000e+00,-1.1210195785529588e-03,2.3978576622708450e-13,-9.0334846152303472e-03,1.3081299010588715e-14,-4.6188943088054656e-13
1.3766519726811058e+01,-9.8884276536093496e-01,0.0000000000000000e+00,-1.1210195785476987e-03,-8.4271060631061390e-13,-9.0334846150280645e-03,2.1856325165445461e-13,1.6364734619855879e-12
1.6825746332793564e+01,-9.8884276536097782e-01,0.0000000000000000e+00,-1.1210195785872794e-03,-6.7905180001010050e-13,-9.0334846141943981e-03,4.0578147819555739e-13,1.3316515833139420e-12
1.9884972938773295e+01,-9.8884276536057647e-01,0.0000000000000000e+00,-1.1210195786593266e-03,5.9359635209772814e-13,-9.0334846139695779e-03,3.5020200359270814e-13,-1.1209864169359206e-12
2.2944199544723585e+01,-9.8884276536053661e-01,0.0000000000000000e+00,-1.1210195787017909e-03,5.3100070930458924e-13,-9.0334846145245784e-03,2.5182925813020327e-13,-1.0057818144559861e-12
2.6003426150669121e+01,-9.8884276536070215e-01,0.0000000000000000e+00,-1.1210195787286540e-03,-4.8544686934313063e-14,-9.0334846148114600e-03,2.7937055304490168e-13,1.1133961379528046e-13
2.9062652756629884e+01,-9.8884276536064275e-01,0.0000000000000000e+00,-1.1210195787723090e-03,1.3773248017903868e-13,-9.0334846148070191e-03,3.2423228005581820e-13,-2.4479813873767855e-13
3.2121879362592601e+01,-9.8884276536089533e-01,0.0000000000000000e+00,-1.1210195788105102e-03,-5.4037136597863660e-13,-9.0334846146348236e-03,4.4500251211401125e-13,1.0684598237276080e-12
3.5181105968564346e+01,-9.8884276536031446e-01,0.0000000000000000e+00,-1.1210195788951131e-03,1.1618561094110352e-12,-9.0334846147238634e-03,3.5487358680845937e-13,-2.2111926227807995e-12
3.8240332574510425e+01,-9.8884276536080973e-01,0.0000000000000000e+00,-1.1210195789216728e-03,-4.6375565883001647e-13,-9.0334846152192450e-03,4.3303608760947754e-13,9.1944821178913143e-13
4.1299559180477225e+01,-9.8884276536051885e-01,0.0000000000000000e+00,-1.1210195789984861e-03,4.6302180282528426e-13,-9.0334846150692538e-03,4.8084982100333128e-13,-8.6021609604358666e-13
4.4358785786439931e+01,-9.8884276536065474e-01,0.0000000000000000e+00,-1.1210195790604264e-03,-4.2726186273749555e-15,-9.0334846153036219e-03,5.4868827893794878e-13,4.3073669075965881e-14
4.7418012392405203e+01,-9.8884276535991322e-01,0.0000000000000000e+00,-1.1210195791643445e-03,1.9557080091098334e-12,-9.0334846160428084e-03,4.1138954823757303e-13,-3.7375371903181077e-12
5.0477238998345925e+01,-9.8884276536028959e-01,0.0000000000000000e+00,-1.1210195792050255e-03,4.0186675025839693e-13,-9.0334846173814043e-03,4.9339056433928951e-13,-7.4603594839572905e-13
5.3536465604313918e+01,-9.8884276536026960e-01,0.0000000000000000e+00,-1.1210195792891731e-03,3.7398668197534532e-13,-9.0334846177227979e-03,7.4392188466177833e-13,-6.7320652306079868e-13
5.6595692210302012e+01,-9.8884276536014581e-01,0.0000000000000000e+00,-1.1210195794125028e-03,6.3499041050236381e-13,-9.0334846181251427e-03,9.9484414457074290e-13,-1.1607538908720015e-12
5.9654918816290142e+01,-9.8884276535983429e-01,0.0000000000000000e+00,-1.1210195795760157e-03,1.3203352926160670e-12,-9.0334846189445983e-03,1.1938299055041005e-12,-2.4649780243635180e-12
6.2714145422272175e+01,-9.8884276536005522e-01,0.0000000000000000e+00,-1.1210195797495195e-03,4.2267597352738069e-13,-9.0334846197978047e-03,1.5644731303256492e-12,-7.1707181632518772e-13
6.5773372028275148e+01,-9.8884276535978921e-01,0.0000000000000000e+00,-1.1210195799998431e-03,1.0930382203973649e-12,-9.0334846203232733e-03,1.9521371408679953e-12,-1.9811559468507765e-12
6.8832598634279890e+01,-9.8884276536007742e-01,0.0000000000000000e+00,-1.1210195802824347e-03,1.3731445544352505e-13,-9.0334846208349751e-03,2.4852561800472962e-12,-1.0947696864604951e-13
7.1891825240302040e+01,-9.8884276535937554e-01,0.0000000000000000e+00,-1.1210195806776572e-03,2.0771105820739752e-12,-9.0334846214890074e-03,2.8451161519839363e-12,-3.8198661059141149e-12
7.4951051846302889e+01,-9.8884276536047400e-01,0.0000000000000000e+00,-1.1210195810530516e-03,-1.2353526617771046e-12,-9.0334846219526366e-03,3.6163749920616679e-12,2.6002991944551463e-12
7.8010278452353091e+01,-9.8884276536006976e-01,0.0000000000000000e+00,-1.1210195816051495e-03,4.1923550674892619e-13,-9.0334846209446651e-03,4.2884451377212223e-12,-5.4002739489078524e-13
8.1069505058389566e+01,-9.8884276536006732e-01,0.0000000000000000e+00,-1.1210195822146795e-03,5.4563434431590812e-13,-9.0334846209609854e-03,4.7893491667881454e-12,-7.5320713222026816e-13
8.4128731664404611e+01,-9.8884276536020099e-01,0.0000000000000000e+00,-1.1210195828846119e-03,3.0496551341878430e-13,-9.0334846209064734e-03,5.2955866137698710e-12,-2.5848858058452606e-13
8.7187958270419045e+01,-9.8884276536006155e-01,0.0000000000000000e+00,-1.1210195836307423e-03,8.7223160198210723e-13,-9.0334846208848241e-03,5.7087627272879246e-12,-1.3244803994894026e-12
9.0247184876420945e+01,-9.8884276536027027e-01,0.0000000000000000e+00,-1.1210195844152050e-03,3.8086729482440465e-13,-9.0334846209716435e-03,6.1410319138080569e-12,-3.5180710256099700e-13
9.3306411482423940e+01,-9.8884276536045568e-01,0.0000000000000000e+00,-1.1210195852601949e-03,1.2292116603098959e-13,-9.0334846206034936e-03,6.5935496410432872e-12,1.7345882952213290e-13
9.6365638088427431e+01,-9.8884276536038129e-01,0.0000000000000000e+00,-1.1210195861715453e-03,6.3787061729049407e-13,-9.0334846202410057e-03,6.9224372959158945e-12,-7.9744495451450350e-13
9.9424864694414310e+01,-9.8884276536051785e-01,0.0000000000000000e+00,-1.1210195871119647e-03,4.5611536415342139e-13,-9.0334846200986751e-03,7.1934762058867730e-12,-4.3367035686969753e-13
1.0248409130039254e+02,-9.8884276536041626e-01,0.0000000000000000e+00,-1.1210195880943209e-03,9.6586971882544291e-13,-9.0334846200238461e-03,7.3582704421712680e-12,-1.4022458344697955e-12
1.0554331790635609e+02,-9.8884276536112758e-01,0.0000000000000000e+00,-1.1210195890661758e-03,-7.8747497499182363e-13,-9.0334846195305740e-03,7.6814413759681329e-12,1.9922386854887007e-12
1.0860254451233675e+02,-9.8884276536051274e-01,0.0000000000000000e+00,-1.1210195901305185e-03,1.4556030429732628e-12,-9.0334846188362405e-03,7.6857641853210392e-12,-2.3213680833578106e-12
1.1166177111827653e+02,-9.8884276536160720e-01,0.0000000000000000e+00,-1.1210195911176934e-03,-1.4392860760924594e-12,-9.0334846183569573e-03,7.8854454128201353e-12,3.2592099159955972e-12
1.1472099772423803e+02,-9.8884276536118509e-01,0.0000000000000000e+00,-1.1210195921949368e-03,5.0562981476800204e-13,-9.0334846168480532e-03,7.8245186929131361e-12,-4.8591755330562589e-13
1.1778022433016498e+02,-9.8884276536176496e-01,0.0000000000000000e+00,-1.1210195932055507e-03,-7.6595583106925207e-13,-9.0334846160500248e-03,7.6871614707761042e-12,1.9521918147802351e-12
1.2083945093608069e+02,-9.8884276536162419e-01,0.0000000000000000e+00,-1.1210195942219579e-03,2.1206896905033031e-13,-9.0334846148797387e-03,7.3413493094531986e-12,4.8195943236351011e-14
1.2389867754196868e+02,-9.8884276536179638e-01,0.0000000000000000e+00,-1.1210195951649759e-03,5.0762823759990924e-14,-9.0334846142970937e-03,6.8414124653806143e-12,3.2777898013591763e-13
1.2695790414783610e+02,-9.8884276536157634e-01,0.0000000000000000e+00,-1.1210195960487193e-03,9.2535687114748326e-13,-9.0334846140319724e-03,6.1482108305911947e-12,-1.3992656022310259e-12
1.3001713075367843e+02,-9.8884276536183269e-01,0.0000000000000000e+00,-1.1210195968144453e-03,2.5502068430491255e-13,-9.0334846141126857e-03,5.4609554314660042e-12,-1.5259720385074613e-13
1.3307635735952010e+02,-9.8884276536174720e-01,0.0000000000000000e+00,-1.1210195975025943e-03,6.4495852048932845e-13,-9.0334846140042169e-03,4.7218572313027991e-12,-9.4748102128505705e-13
1.3613558396535402e+02,-9.8884276536199012e-01,0.0000000000000000e+00,-1.1210195980762851e-03,2.1978293484102931e-14,-9.0334846139591418e-03,4.0160723702399516e-12,2.0707957446575163e-13
1.3919481057119089e+02,-9.8884276536239091e-01,0.0000000000000000e+00,-1.1210195985532009e-03,-8.5436666195552675e-13,-9.0334846132396063e-03,3.4040409481797800e-12,1.8585007637739182e-12
1.4225403717703750e+02,-9.8884276536230764e-01,0.0000000000000000e+00,-1.1210195989639108e-03,-2.4336818005738929e-13,-9.0334846122893664e-03,2.6475365436700519e-12,6.3390471041202534e-13
1.4531326378286536e+02,-9.8884276536205640e-01,0.0000000000000000e+00,-1.1210195992671836e-03,5.7220909279323085e-13,-9.0334846121409296e-03,1.6707880586187438e-12,-9.9618919193744670e-13
1.4837249038866602e+02,-9.8884276536180116e-01,0.0000000000000000e+00,-1.1210195994325123e-03,1.0933408825277151e-12,-9.0334846128214963e-03,5.9102862349301563e-13,-2.0672101527452470e-12
1.5143171699445435e+02,-9.8884276536174853e-01,0.0000000000000000e+00,-1.1210195994475509e-03,8.7736715183576086e-13,-9.0334846138471203e-03,-4.0822249797701983e-13,-1.7130281776189804e-12
1.5449094360025279e+02,-9.8884276536253812e-01,0.0000000000000000e+00,-1.1210195993102000e-03,-1.5045489786261735e-12,-9.0334846138563352e-03,-1.0125986725820994e-12,2.8326641768217087e-12
1.5755017020609878e+02,-9.8884276536119287e-01,0.0000000000000000e+00,-1.1210195991775431e-03,2.3584923401014747e-12,-9.0334846140257552e-03,-2.0276972396647260e-12,-4.6652276068925856e-12
1.6060939681189529e+02,-9.8884276536218774e-01,0.0000000000000000e+00,-1.1210195988085008e-03,-1.0951398181949947e-12,-9.0334846152960724e-03,-2.6809563357536382e-12,1.9397120922803883e-12
1.6366862341773708e+02,-9.8884276536187632e-01,0.0000000000000000e+00,-1.1210195984274536e-03,-1.1733924516660511e-13,-9.0334846148714121e-03,-3.2412147345029570e-12,2.5192275643348694e-14
1.6672785002358989e+02,-9.8884276536184101e-01,0.0000000000000000e+00,-1.1210195979538618e-03,-1.8972800517497065e-13,-9.0334846150850190e-03,-3.8400597314464232e-12,1.2605451047420500e-13
1.6978707662943918e+02,-9.8884276536144988e-01,0.0000000000000000e+00,-1.1210195974147065e-03,6.5614080763107328e-13,-9.0334846156624460e-03,-4.4997325101899682e-12,-1.5425961464643478e-12
1.7284630323528242e+02,-9.8884276536149940e-01,0.0000000000000000e+00,-1.1210195967724995e-03,6.6981771352863338e-14,-9.0334846165904814e-03,-5.0274023162160720e-12,-4.4205226004123694e-13
1.7590552984114319e+02,-9.8884276536091831e-01,0.0000000000000000e+00,-1.1210195960917831e-03,1.2772064521843020e-12,-9.0334846176978179e-03,-5.5715074070260956e-12,-2.8033275157213213e-12
1.7896475644700368e+02,-9.8884276536134719e-01,0.0000000000000000e+00,-1.1210195953065183e-03,-5.3080159674028258e-13,-9.0334846188668827e-03,-5.7854692021695351e-12,6.6081993281841266e-13
1.8202398305290603e+02,-9.8884276536174964e-01,0.0000000000000000e+00,-1.1210195945157520e-03,-1.7118674282957277e-12,-9.0334846184315643e-03,-5.6752103779362248e-12,2.9427465051412585e-12
1.8508320965884832e+02,-9.8884276536155324e-01,0.0000000000000000e+00,-1.1210195937661593e-03,-9.7039727742928247e-13,-9.0334846175531558e-03,-5.6466831341298236e-12,1.5188474208116532e-12
1.8814243626478157e+02,-9.8884276536101334e-01,0.0000000000000000e+00,-1.1210195930221017e-03,4.3058177332827059e-13,-9.0334846177129169e-03,-5.8636227790549375e-12,-1.1917669326066969e-12
1.9120166287068687e+02,-9.8884276536062854e-01,0.0000000000000000e+00,-1.1210195922372232e-03,9.8795078991093714e-13,-9.0334846190023299e-03,-6.1323970757140806e-12,-2.2817868739366528e-12
1.9426088947658826e+02,-9.8884276536128080e-01,0.0000000000000000e+00,-1.1210195913895732e-03,-1.3235896018815057e-12,-9.0334846197083207e-03,-5.9765523710157741e-12,2.1758954972028737e-12
