   0.0000000000000000E+00 -0.9916647163367744E+00  0.0000000000000000E+00  0.8983543483564242E-03 -0.0000000000000000E+00  0.9931014021976879E-02  0.0000000000000000E+00
   0.1529613302978661E-01 -0.9916644788759238E+00  0.1518729491709867E-03  0.8977038474263005E-03  0.3107452371259121E-04  0.9924510706982385E-02 -0.8503750626196127E-04
   0.3059226605957322E-01 -0.9916637641067594E+00  0.3035470642418662E-03  0.8957538845064080E-03  0.6246072391616565E-04  0.9905023706638091E-02 -0.1698738064975646E-03
   0.4588839908935984E-01 -0.9916625649040448E+00  0.4548242114135354E-03  0.8925090668327387E-03  0.9446576148926104E-04  0.9872621535980085E-02 -0.2543093100286206E-03
   0.6118453211914645E-01 -0.9916608695069428E+00  0.6055076477819273E-03  0.8879770321333537E-03  0.1273878676572560E-03  0.9827417333261165E-02 -0.3381476239112590E-03
   0.7648066514893306E-01 -0.9916586616881532E+00  0.7554026928052803E-03  0.8821683880061985E-03  0.1615121291931721E-03  0.9769567312405133E-02 -0.4211970706184969E-03
   0.9177679817871967E-01 -0.9916559209854169E+00  0.9043173717853364E-03  0.8750966287662399E-03  0.1971065629569635E-03  0.9699268660152185E-02 -0.5032721116478115E-03
   0.1070729312085063E+00 -0.9916526229903370E+00  0.1052063023310148E-02  0.8667780314045427E-03  0.2344185590692504E-03  0.9616756937939617E-02 -0.5841946510665239E-03
   0.1223690642382929E+00 -0.9916487396883581E+00  0.1198454863621877E-02  0.8572315326681407E-03  0.2736717586037205E-03  0.9522303060772177E-02 -0.6637951972167115E-03
   0.1376651972680795E+00 -0.9916442398428487E+00  0.1343312502051179E-02  0.8464785895665273E-03  0.3150634164023033E-03  0.9416209934315654E-02 -0.7419138656069502E-03
   0.1529613302978661E+00 -0.9916390894155815E+00  0.1486460402948926E-02  0.8345430258310747E-03  0.3587622832782249E-03  0.9298808836951637E-02 -0.8184012111712573E-03
   0.1682574633276527E+00 -0.9916332520155151E+00  0.1627728290892463E-02  0.8214508669943186E-03  0.4049070252912560E-03  0.9170455635529396E-02 -0.8931188833239224E-03
   0.1835535963574393E+00 -0.9916266893676241E+00  0.1766951497294714E-02  0.8072301668171815E-03  0.4536051817260323E-03  0.9031526922209895E-02 -0.9659401023440727E-03
   0.1988497293872259E+00 -0.9916193617936255E+00  0.1903971247851637E-02  0.7919108277777287E-03  0.5049326485523887E-03  0.8882416155454409E-02 -0.1036749960375685E-02
   0.2141458624170126E+00 -0.9916112286967469E+00  0.2038634891484167E-02  0.7755244182517022E-03  0.5589336610407915E-03  0.8723529881334202E-02 -0.1105445554556113E-02
   0.2294419954467992E+00 -0.9916022490431737E+00  0.2170796072530458E-02  0.7581039888719026E-03  0.6156212382399693E-03  0.8555284102482952E-02 -0.1171935963363458E-02
   0.2447381284765858E+00 -0.9915923818334552E+00  0.2300314848897043E-02  0.7396838903611047E-03  0.6749780434339912E-03  0.8378100851775171E-02 -0.1236142080122513E-02
   0.2600342615063724E+00 -0.9915815865578940E+00  0.2427057759666984E-02  0.7202995949030104E-03  0.7369576085666026E-03  0.8192405016785134E-02 -0.1297996319699431E-02
   0.2753303945361590E+00 -0.9915698236307778E+00  0.2550897846281381E-02  0.6999875228593424E-03  0.8014858668997400E-03  0.7998621449816740E-02 -0.1357442215757306E-02
   0.2906265275659456E+00 -0.9915570547991748E+00  0.2671714631857920E-02  0.6787848763697174E-03  0.8684629366961642E-03  0.7797172387284170E-02 -0.1414433926584315E-02
   0.3059226605957323E+00 -0.9915432435228865E+00  0.2789394063493679E-02  0.6567294810946018E-03  0.9377650992328487E-03  0.7588475191870486E-02 -0.1468935667515600E-02
   0.3212187936255189E+00 -0.9915283553230102E+00  0.2903828422531600E-02  0.6338596370894240E-03  0.1009246916654886E-02  0.7372940421505953E-02 -0.1520921087440658E-02
   0.3365149266553055E+00 -0.9915123580973616E+00  0.3014916207767520E-02  0.6102139795372722E-03  0.1082743438732199E-02  0.7150970221003972E-02 -0.1570372605920820E-02
   0.3518110596850921E+00 -0.9914952224017637E+00  0.3122561996456513E-02  0.5858313498244261E-03  0.1158072452140469E-02  0.6922957025293071E-02 -0.1617280726140258E-02
   0.3671071927148787E+00 -0.9914769216968694E+00  0.3226676287763915E-02  0.5607506772216192E-03  0.1235036731124710E-02  0.6689282557631491E-02 -0.1661643337379438E-02
