x,y,z,dx,dy,dz,dv_st
-0.9916931661780065,3.501494019741951e-05,0.0008496760335798763,-3.762138709425325e-05,0.009976918101873232,-4.28344869102542e-05,0.0001232609607696555
-0.991647016484018,-3.445365932786751e-05,0.000922145767604126,-5.23521377714854e-06,0.009896681217746265,6.919272032153256e-06,-5.0384811401367574e-05
-0.9916355417662209,-3.7869873933904186e-05,0.000865520808873179,-5.1302543905746735e-06,0.009934947551863247,6.448750255616998e-06,-0.00010322946357727217
-0.9917082805426992,4.094511818427322e-05,0.0008978409670431453,3.474693977007468e-05,0.009952443084580554,-1.4904620971961424e-05,0.0001263387634277366
-0.9917042647163167,4.024840449694123e-05,0.0008608229379549611,-8.05667390237469e-06,0.00997754356028653,-4.341008262351529e-05,0.00013888251457214613
-0.991650244564988,2.2782181619129173e-05,0.000931992211666136,-7.992304598442901e-06,0.009975011195666907,-1.943229703049587e-06,-8.35142135620129e-05
-0.9916341915032796,-8.133667832633495e-06,0.0008716309405280463,-4.813843199254724e-05,0.009908000959297029,3.52402920510519e-05,-5.5296835708618675e-05
-0.991616713491389,-1.2153872709323389e-05,0.0008506195516701232,2.7777561960240505e-06,0.009970109096817403,4.41963105531761e-05,-0.00019631234283447657
-0.991652410061115,-1.7190852166272185e-05,0.0009272359806515373,9.077290312269426e-06,0.00997803697938445,3.698783136256039e-05,-9.630622711181791e-05
-0.9916573029737412,2.32152834118033e-05,0.0009413681991346117,-2.6950090994454845e-05,0.009894347052246115,1.0282267610471952e-05,8.374269104003905e-06
-0.991621516353911,-3.0882743404075745e-05,0.0008604865587485312,-3.1396664840799325e-05,0.009895703829685121,-3.8830234782162034e-05,-0.0001043350845336931
-0.9916589732557993,2.482664584215192e-05,0.0009207013109195717,4.437372883672538e-05,0.009951547454275468,-1.156515983331824e-05,-7.203976631164641e-05
-0.9916716341806533,-1.6334690545166865e-05,0.0009321153243027178,-9.037501299379603e-06,0.009973181534434182,4.1385170292738404e-05,-9.327243804931648e-06
-0.9917084906012227,4.3181858976773315e-05,0.0009225557660927793,-1.1945071113747886e-05,0.00988196863481383,3.402309663394212e-05,0.00020185301856995034
-0.9917062465972523,-3.6201251086934164e-05,0.0008739847198557249,-4.863738288659806e-05,0.00990606402232793,-3.3387969713403235e-05,0.00021147660255432557
-0.9916522396677045,-3.013191952946188e-05,0.000899862686677213,4.9157809708633764e-05,0.009891046973771196,-4.495955305116393e-05,-6.053735275268618e-05
-0.9916589776975545,-3.0175010240687708e-05,0.0009315902417807699,7.155693651068984e-06,0.009883350784118674,-5.53740421500587e-06,-8.437646865844727e-06
-0.9917097767362664,3.630036509962627e-05,0.0008767133639897481,4.8079529501376256e-05,0.009892280061588652,2.7529714036956176e-05,0.00016566270637512524
-0.9916151081435821,1.9432185256023517e-05,0.0009083121876936634,2.513723871191026e-05,0.009897196674038987,3.273353283082601e-05,-0.00018161197242737173
-0.9916265790167687,3.77208709169418e-05,0.0008989313765656983,2.6496075370718908e-05,0.009929766479604207,-4.00028783960203e-05,-0.00015440511131286912
-0.9917128511655421,-3.8344991795861276e-05,0.0009290996157307154,-1.7460780206767467e-05,0.009912644179264322,-4.4137697491936394e-05,0.00019189048347473524
