t,x,y,z,dx,dy,dz,dv_st
9.1776798178719652e+00,-9.9060979860485443e-01,4.5451651396505501e-03,-2.2732710464678431e-04,3.0666153630469766e-03,-2.9945167418943264e-04,-2.0230329338898094e-03,-6.5589789301156991e-12
1.2236906423829288e+01,-9.9061136684941398e-01,4.5441362333024198e-03,-2.2955264604843304e-04,3.0640504330216511e-03,-2.8923069130870616e-04,-2.0311955678287562e-03,1.1278595775365830e-11
1.5296133029786610e+01,-9.9061272079613638e-01,4.5429275194308694e-03,-2.3177004318915761e-04,3.0615491959238082e-03,-2.8016181639956006e-04,-2.0404484202056756e-03,1.2325402349233625e-11
1.8355359635743930e+01,-9.9061383901341993e-01,4.5415525793273360e-03,-2.3395378019994121e-04,3.0591462815514944e-03,-2.7238537073526192e-04,-2.0506816572286434e-03,1.0699499398469924e-11
2.1414586241701251e+01,-9.9061470261414786e-01,4.5400271625774969e-03,-2.3607842340975306e-04,3.0568755845676674e-03,-2.6602802715935958e-04,-2.0617720420610364e-03,1.1458341032266616e-11
2.4473812847658571e+01,-9.9061529553946415e-01,4.5383690656734055e-03,-2.3811890872231753e-04,3.0547698396496160e-03,-2.6120095583681557e-04,-2.0735839297424115e-03,1.0709371417760847e-11
2.7533039453615892e+01,-9.9061560483450095e-01,4.5365979823346883e-03,-2.4005084306640107e-04,3.0528601738667310e-03,-2.5799801184955840e-04,-2.0859704716669693e-03,1.0767858475446701e-11
3.0592266059573213e+01,-9.9061562090335209e-01,4.5347353227100356e-03,-2.4185081769667339e-04,3.0511756643455089e-03,-2.5649399911742421e-04,-2.0987750440455370e-03,1.1003296822309495e-11
3.3651492665530533e+01,-9.9061533774204380e-01,4.5328039982999238e-03,-2.4349672993469944e-04,3.0497428875871642e-03,-2.5674305801248742e-04,-2.1118329097846930e-03,1.0592583566904068e-11
3.6710719271487854e+01,-9.9061475314008718e-01,4.5308281730105978e-03,-2.4496810911357953e-04,3.0485854763449942e-03,-2.5877722418010674e-04,-2.1249731156247290e-03,1.1197570711374283e-11
3.9769945877445174e+01,-9.9061386884005420e-01,4.5288329799330340e-03,-2.4624644109393800e-04,3.0477236990588286e-03,-2.6260521338761222e-04,-2.1380206178380125e-03,1.0137353092432018e-11
