t,x,y,z,dx,dy,dz,dv_vel,dv_st
5.141490e+01,-9.911027e-01,4.261623e-03,1.670786e-04,2.332413e-03,3.094915e-03,-2.023117e-03,1.953125e-09,1.953125e-09
5.258342e+01,-9.890304e-01,-1.886479e-03,-1.038886e-03,-1.696139e-03,-8.203581e-03,7.536192e-04,4.687500e-09,-2.343750e-09
5.375195e+01,-9.916416e-01,-1.417927e-03,8.404215e-04,-3.374731e-04,9.356580e-03,7.818773e-04,-7.812500e-09,-4.687500e-09
5.492047e+01,-9.897644e-01,3.832641e-03,-6.898071e-04,3.111481e-03,-4.788569e-03,-1.593681e-03,4.375000e-08,3.125000e-09
5.608899e+01,-9.902624e-01,-4.381751e-03,-4.179952e-04,-3.231757e-03,-2.232466e-03,1.889565e-03,5.078125e-09,-4.296875e-09
5.725751e+01,-9.915481e-01,2.749729e-03,6.643241e-04,9.139443e-04,7.660234e-03,-1.450678e-03,-1.562500e-09,-1.562500e-09
5.842603e+01,-9.888579e-01,5.440371e-04,-1.114503e-03,4.989579e-04,-8.967233e-03,-2.156619e-04,-1.406250e-08,3.906250e-09
5.959455e+01,-9.914021e-01,-3.566887e-03,4.665541e-04,-1.518531e-03,5.818493e-03,1.798822e-03,-1.562500e-08,-3.320312e-09
6.076307e+01,-9.906420e-01,4.520971e-03,-1.809562e-04,3.012821e-03,-5.578457e-05,-2.020672e-03,0.000000e+00,0.000000e+00
6.193159e+01,-9.894110e-01,-3.149542e-03,-8.640773e-04,-2.697057e-03,-6.472217e-03,1.282531e-03,0.000000e+00,0.000000e+00
6.310011e+01,-9.916641e-01,2.468415e-04,8.966346e-04,5.066518e-05,9.913818e-03,-1.381696e-04,-5.078125e-09,-3.515625e-09
6.426863e+01,-9.892828e-01,2.812634e-03,-9.242998e-04,2.450520e-03,-7.063588e-03,-1.137576e-03,-2.500000e-08,2.734375e-09
6.543715e+01,-9.907880e-01,-4.500910e-03,-7.976350e-05,-2.852648e-03,8.635109e-04,2.045238e-03,4.687500e-09,-2.734375e-09
6.660567e+01,-9.913200e-01,3.835505e-03,3.745367e-04,1.784890e-03,4.976146e-03,-1.896906e-03,-3.906250e-09,-3.125000e-09
6.777419e+01,-9.888927e-01,-9.866198e-04,-1.099388e-03,-9.013316e-04,-8.813843e-03,3.916940e-04,7.812500e-09,-3.125000e-09
6.894271e+01,-9.915881e-01,-2.352378e-03,7.318854e-04,-6.999577e-04,8.303312e-03,1.261674e-03,-4.687500e-09,-2.148438e-09
7.011123e+01,-9.901012e-01,4.249265e-03,-5.100350e-04,3.244197e-03,-3.089661e-03,-1.809013e-03,1.562500e-09,3.906250e-10
7.127975e+01,-9.899216e-01,-4.051618e-03,-6.077819e-04,-3.201238e-03,-4.009004e-03,1.702493e-03,3.125000e-09,-2.343750e-09
7.244827e+01,-9.916211e-01,1.872862e-03,7.955060e-04,4.929724e-04,8.917353e-03,-1.020745e-03,-5.468750e-09,-3.906250e-09
7.361679e+01,-9.889550e-01,1.469748e-03,-1.072197e-03,1.333182e-03,-8.538870e-03,-5.851254e-04,6.250000e-09,-1.562500e-09
7.478532e+01,-9.912125e-01,-4.085199e-03,2.666496e-04,-2.080027e-03,3.995761e-03,1.976841e-03,3.750000e-08,-1.367187e-09
7.595384e+01,-9.909408e-01,4.424180e-03,3.425988e-05,2.633093e-03,1.895153e-03,-2.050125e-03,-1.171875e-09,-1.171875e-09
7.712236e+01,-9.891552e-01,-2.403171e-03,-9.828441e-04,-2.128170e-03,-7.643536e-03,9.657499e-04,-4.687500e-09,2.343750e-09
7.829088e+01,-9.916580e-01,-7.945924e-04,8.804301e-04,-1.707018e-04,9.752295e-03,4.428488e-04,-3.125000e-09,-1.953125e-09
